timestamp,airspeed_filtered,mc_weights[0],mc_weights[1],mc_weights[2],mc_weights[3],vtol_in_rw_mode,vtol_in_trans_mode,in_transition_to_fw,vtol_transition_failsafe,fw_permanent_stab
1948223042,-0.92826474,1.0,1.0,1.0,1.0,1,0,0,0,0
1948421978,-0.583914,1.0,1.0,1.0,1.0,1,0,0,0,0
1948620932,-0.5630083,1.0,1.0,1.0,1.0,1,0,0,0,0
1948822336,-0.49805596,1.0,1.0,1.0,1.0,1,0,0,0,0
1949023694,-0.878523,1.0,1.0,1.0,1.0,1,0,0,0,0
1949225197,-1.0663712,1.0,1.0,1.0,1.0,1,0,0,0,0
1949424057,-0.9038191,1.0,1.0,1.0,1.0,1,0,0,0,0
1949622972,-0.79839295,1.0,1.0,1.0,1.0,1,0,0,0,0
1949821995,-1.0001178,1.0,1.0,1.0,1.0,1,0,0,0,0
1950020863,-1.1006666,1.0,1.0,1.0,1.0,1,0,0,0,0
1950222324,-1.3875828,1.0,1.0,1.0,1.0,1,0,0,0,0
1950423710,-1.4870737,1.0,1.0,1.0,1.0,1,0,0,0,0
1950625087,-1.7333407,1.0,1.0,1.0,1.0,1,0,0,0,0
1950824045,-1.8160647,1.0,1.0,1.0,1.0,1,0,0,0,0
1951022910,-1.7504882,1.0,1.0,1.0,1.0,1,0,0,0,0
1951221868,-1.469225,1.0,1.0,1.0,1.0,1,0,0,0,0
1951423218,-1.3092418,1.0,1.0,1.0,1.0,1,0,0,0,0
1951622142,-1.4222976,1.0,1.0,1.0,1.0,1,0,0,0,0
1951823625,-1.5157707,1.0,1.0,1.0,1.0,1,0,0,0,0
1952024958,-1.5930207,1.0,1.0,1.0,1.0,1,0,0,0,0
1952224017,-1.5906668,1.0,1.0,1.0,1.0,1,0,0,0,0
1952422984,-1.2022208,1.0,1.0,1.0,1.0,1,0,0,0,0
1952621999,-1.0808624,1.0,1.0,1.0,1.0,1,0,0,0,0
1952820979,-0.7775935,1.0,1.0,1.0,1.0,1,0,0,0,0
1953022343,-0.27838165,1.0,1.0,1.0,1.0,1,0,0,0,0
1953223785,-0.4796359,1.0,1.0,1.0,1.0,1,0,0,0,0
1953425176,-0.7800509,1.0,1.0,1.0,1.0,1,0,0,0,0
1953624258,-0.72504044,1.0,1.0,1.0,1.0,1,0,0,0,0
1953823239,-0.54890096,1.0,1.0,1.0,1.0,1,0,0,0,0
1954021912,-0.3601461,1.0,1.0,1.0,1.0,1,0,0,0,0
1954220637,-0.29877016,1.0,1.0,1.0,1.0,1,0,0,0,0
1954422050,0.10694827,1.0,1.0,1.0,1.0,1,0,0,0,0
1954623423,0.36304522,1.0,1.0,1.0,1.0,1,0,0,0,0
1954824815,0.29860434,1.0,1.0,1.0,1.0,1,0,0,0,0
1955023755,0.60532874,1.0,1.0,1.0,1.0,1,0,0,0,0
1955222720,0.76666355,1.0,1.0,1.0,1.0,1,0,0,0,0
1955421646,0.6839057,1.0,1.0,1.0,1.0,1,0,0,0,0
1955623055,0.22489022,1.0,1.0,1.0,1.0,1,0,0,0,0
1955821956,0.4851086,1.0,1.0,1.0,1.0,1,0,0,0,0
1956023388,0.21753837,1.0,1.0,1.0,1.0,1,0,0,0,0
1956224806,-0.24715093,1.0,1.0,1.0,1.0,1,0,0,0,0
1956423765,-0.23278497,1.0,1.0,1.0,1.0,1,0,0,0,0
1956622614,-0.3727298,1.0,1.0,1.0,1.0,1,0,0,0,0
1956821629,0.045891844,1.0,1.0,1.0,1.0,1,0,0,0,0
1957022952,0.11867205,1.0,1.0,1.0,1.0,1,0,0,0,0
1957221959,0.3845254,1.0,1.0,1.0,1.0,1,0,0,0,0
1957423283,0.76862425,1.0,1.0,1.0,1.0,1,0,0,0,0
1957624745,1.024976,1.0,1.0,1.0,1.0,1,0,0,0,0
1957823680,0.9176078,1.0,1.0,1.0,1.0,1,0,0,0,0
1958022602,1.0546176,1.0,1.0,1.0,1.0,1,0,0,0,0
1958221476,0.9842494,1.0,1.0,1.0,1.0,1,0,0,0,0
1958422912,0.8281966,1.0,1.0,1.0,1.0,1,0,0,0,0
1958621800,0.79501694,1.0,1.0,1.0,1.0,1,0,0,0,0
1958825775,1.0109829,1.0,1.0,1.0,1.0,1,0,0,0,0
1959024621,0.8344575,1.0,1.0,1.0,1.0,1,0,0,0,0
1959223595,0.66713905,1.0,1.0,1.0,1.0,1,0,0,0,0
1959422529,0.31078452,1.0,1.0,1.0,1.0,1,0,0,0,0
1959621493,0.61546993,1.0,1.0,1.0,1.0,1,0,0,0,0
1959822894,0.29469752,1.0,1.0,1.0,1.0,1,0,0,0,0
1960021819,0.12945095,1.0,1.0,1.0,1.0,1,0,0,0,0
1960220740,0.07496511,1.0,1.0,1.0,1.0,1,0,0,0,0
1960424551,0.5127766,1.0,1.0,1.0,1.0,1,0,0,0,0
1960623589,0.8291929,1.0,1.0,1.0,1.0,1,0,0,0,0
1960822493,1.0179678,1.0,1.0,1.0,1.0,1,0,0,0,0
1961023797,1.2467059,1.0,1.0,1.0,1.0,1,0,0,0,0
1961222758,1.3994248,1.0,1.0,1.0,1.0,1,0,0,0,0
1961421661,1.5619522,1.0,1.0,1.0,1.0,1,0,0,0,0
1961625548,1.2866176,1.0,1.0,1.0,1.0,1,0,0,0,0
1961824566,1.1223062,1.0,1.0,1.0,1.0,1,0,0,0,0
1962222374,1.1561327,1.0,1.0,1.0,1.0,1,0,0,0,0
1962423752,1.2412617,1.0,1.0,1.0,1.0,1,0,0,0,0
1962622759,1.4312683,1.0,1.0,1.0,1.0,1,0,0,0,0
1962821555,1.4821169,1.0,1.0,1.0,1.0,1,0,0,0,0
1963025488,1.3100477,1.0,1.0,1.0,1.0,1,0,0,0,0
1963222007,1.4880925,1.0,1.0,1.0,1.0,1,0,0,0,0
1963423426,1.6352384,1.0,1.0,1.0,1.0,1,0,0,0,0
1963622369,1.7568458,1.0,1.0,1.0,1.0,1,0,0,0,0
1963823802,1.8471446,1.0,1.0,1.0,1.0,1,0,0,0,0
1964022809,1.792959,1.0,1.0,1.0,1.0,1,0,0,0,0
1964221800,1.8871926,1.0,1.0,1.0,1.0,1,0,0,0,0
1964425631,1.8988739,1.0,1.0,1.0,1.0,1,0,0,0,0
1964624642,1.2498477,1.0,1.0,1.0,1.0,1,0,0,0,0
1964823662,1.2993263,1.0,1.0,1.0,1.0,1,0,0,0,0
1965022615,0.6902583,1.0,1.0,1.0,1.0,1,0,0,0,0
1965221677,0.23014423,1.0,1.0,1.0,1.0,1,0,0,0,0
1965423051,0.07140576,1.0,1.0,1.0,1.0,1,0,0,0,0
1965621483,0.07378024,1.0,1.0,1.0,1.0,1,0,0,0,0
